userid,title,estatetype,address,ward,district,city,area,price,description,roomnum,restroom,electricity,water,wifi,ultility,rented,created,updated,expired
2,BÁN NHÀ 323 XUÂN ĐỈNH THÔNG NGOẠI GIAO ĐOÀN 3.8 TỶ,1,Đường Xuân Đỉnh,Phường Xuân La,Quận Tây Hồ,Hà Nội,50.0,380000.0,"Bán nhà thông sang ngoại giao Đoàn. Cách 15m đường ô tô
 - 50m ra ngoại giao đoàn. KHU VỰC ĐÁNG SỐNG BẬC NHẤT.
 * FULL NỘI THẤT XỊN - KHÁCH ĐẾN LÀ Ở NGAY NHÀ THIẾT KẾ THÔNG SÀN
 - THOÁNG SÁNG TỰ NHIÊN XÂY NĂM 2018. CHỦ NHÀ MƠI RA MẶT PHỐ THAY ĐỔI NHU CẦU BÁN. * 70 tr cả nhà cả đất - kiếm đâu ra căn thứ 2 ... SIÊU PHẨM CỰC ĐẸP- 15M RA Ô TÔ - NGÕ 355 Ô TÔ TRÁNH - NHÀ MỚI - SỔ SIÊU ĐẸP
 - CHỦ Làm ăn lộc lá GIÁ CHỐT BẤT NGỜ!!!!!!! 💥 - Ngõ 355 Xuân Đỉnh ô tô tránh, nhà cách mặt ngõ chỉ 15m. SIÊU ĐẸP. ✍️Hướng: ĐÔNG GHÉ BẮC ----------------------
 Thiết kế:
 Tầng 1: Khách, bếp, wc
 Tầng 2,3,: Mỗi tầng 1 PN, WC. 
Tầng 4: Sân phơi phòng thờ.",2,chung,2000,8000,Ổn định,Gần hơn người yêu bạn,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-10 21:44:00.231969
1,"Nhà Bát Khối DT 30m2 x 4 tầng, ô tô đỗ cửa. 1.82tỷ",1,Bát Khối,Phường Cự Khối,Quận Long Biên,Hà Nội,32.0,182000.0,"Bán Nhà Bát Khối, Long Biên, DT 30m2 x 4 tầng, ô tô đỗ cửa. Giá từ 1.82 tỷ.
+ Diện tích: 30 - 35m2. Mặt tiền 4m. Hướng Đông Nam, Tây Nam.
+ Ngõ trước nhà 3m, ngõ thông ô tô đỗ cửa.
+ Nhà xây thiết kế 4 tầng, 3 phòng ngủ, bếp, phòng ăn + phòng thờ.
+ Vị trí tại phường Cự Khối, Long Biên, bán kính 500m đầy đủ chợ, trường học các cấp.
+ Lên cầu Thanh Trì, đi Vin Gia Lâm, LÀng Gốm Bát Tràng chỉ 5p đi xe.
+ Sổ đỏ chính chủ, công chứng được ngay.
Giá 1.82 tỷ (có thương lượng - bao phí sang sổ).
Hỗ trợ vay trả góp lên tới 80% giá trị căn nhà.
Liên hệ: Mr Tùngđể đi xem nhà trực tiếp và miễn phí môi giới",3,chung,3000,8000,Ổn định,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-08 21:44:00.231969
2,"Toà căn hộ dịch vụ, ccmn, Trần Quốc Vượng 73m2,22P",1,Đường Trần Quốc Vượng,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,73.0,1550000.0,"Hiếm, toà căn hộ dịch vụ, ccmn, Trần Quốc Vượng 73m2, 22 phòng, 15.5 tỷ.

Mô tả: 
+ Toà nhà ở vị trí nhu cầu cho thuê cực cao, luôn kín phòng. Ngõ rộng thông khắp ngả.
+ Toà nhà 8 tầng còn mới thiết kế 22 phòng khép kín, có thể cải tạo thêm 2 phòng và tầng 1 cho thuê kinh doanh.
+ Toà nhà đã có hợp đồng thuê 5 năm 85tr/ tháng. Dòng tiền rất tốt.
+ Sổ đỏ nở hậu, chính chủ sẵn sàng giao dịch.

+ Cảm ơn quý khách đã tin tưởng vào Hungsmile để được như ý.
- Năm Tân Sửu, Hungsmile sẽ cày như trâu để phục vụ quý khách hàng.
- Quý khách có nhu cầu mua nhà, bán nhà, đất thổ cư Hà Nội, trị giá từ 2 tỷ-> 1000 tỷ, xin liên hệ: 
- Hungsmile xin được phục vụ 24/7.

#Hungsmile",4,chung,2000,10000,natD,hasagi,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-08 21:44:00.231969
2,Bán nhà ngã 4 Lê Văn Lương - Khuất Duy Tiến,1,14 Vũ Hữu,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,53.0,990000.0,"Bán nhà ngõ 14 Vũ Hữu (cũng là 36 Tố Hữu), Nhân Chính, Thanh Xuân - Hà Nội.

Căn nhà đẹp nhất trong khoảng giá dưới 10 tỷ vị trí giao thoa trung tâm thành phố.

Vị trí mặt ngõ 2 xe tải tránh nhau, ô tô đỗ ngày đêm.
Nhà cách mặt đường Tố Hữu 100m, cách ngã 4 Lê Văn Lương giao Khuất Duy Tiến 200m.
Diện tích nhà tầng 1: 53m2 theo sổ.
Từ tầng 2 - 5: 57m2.
Thiết kế thông sàn các tầng, cầu thang cuối hành lang, có ô chờ thang máy.
Nhà mới xây được 2 năm, có thể xây lên 7 tầng thiết kế thoáng rộng không ngăn phòng. Phù hợp để ở kết hợp kinh doanh online, văn phòng.
Khu tập thể cán bộ trường HV Phòng Cháy, dân trí cao.
Ngõ cụt, yên tĩnh. Ô tô ra vào thoải mái 2 chiều.

Hiện tại tôi đang bán nội thất và trưng bày sản phẩm tại tầng 1 và tầng 2, tôi có up kèm ảnh trước khi tôi để hàng để dễ hình dung.",2,không có,2000,10000,Có là được,hasagi,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-22 21:44:00.231969
1,Căn Hộ CC 173 Xuân Thủy Cầu Giấy HN,3,Đường Xuân Thủy,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,109.4,290000.0,"Cần bán căn hộ 702 Tháp B tòa cc 173 Xuân thủy Cầu Giấy , Vị trí vô cùng thuận lợi ngay mặt phố Xuân thủy đối diện ĐH Sư phạm , ĐH Quốc Gia.
Căn hộ gồm 3 phòng ngủ , 2 WC , phòng khách , bếp. Diện tích 109,4m2 nội thất đã thiết kế lại , đầy đủ toàn hàng chất lượng , khách mua về ở ngay. Cửa vào hướng Nam, ban công Đông Bắc.
Sổ đỏ sẵn giao dịch. Quý khách có nhu cầu xin liên hệ . Thanh Hằng",4,chung,2000,10000,Ổn định,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-10 21:44:00.231969
1,mặt phố - mặt tiền 6m - nở hậu -  thanh xuân,3,Đường Quan Nhân,Phường Thượng Đình,Quận Thanh Xuân,Hà Nội,33.0,930000.0,"Mặt Phố, lô góc 3 mặt thoáng, mặt tiền khủng 6m, nở hậu, kinh doanh đỉnh.
Hiện là 2 tầng cũ, đang cho thuê giữ nhà 12tr/tháng.
Vị trí đẹp, cách Phố mới Vũ Trọng Phụng 100m, gần trường, chợ, tiện ích mọi nơi. Thích hợp làm Nhà hàng, nhà thuốc, siêu thị, trung tâm ngoại nghữ....
Sổ đẹp, chính chủ
liên hệ :0856.817.888 ( Đăng)",3,không có,3000,11000,Nhanh hơn cách người yêu cũ trở mặt,hasagi,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-02 21:44:00.231969
1,"Mặt Đường KD Luôn, Bán Gấp Trong Tuần 70m2 Đại Áng",0,Đường 70,Xã Đại áng,Huyện Thanh Trì,Hà Nội,70.0,180000.0,"Mặt Đường Kinh Doanh Luôn, Gần Chợ Chính, Bán Gấp Trong Tuần 70m2, Đại Áng - Thanh Trì. GIÁ RẺ Mua Lãi Ngay

* Diện tích: 70m2.
+ Ngay cạnh chợ chính Đại Áng.
+ Đường rộng ô  tô tránh nhau vào thoải mãi.

* Vị trí nằm tại trung tâm Làng Đại Áng, gần hồ, dân cư đông đúc, hàng xóm thân thiện, an ninh cực tốt. Gần các trường học tiện cho việc học của con cái.
+ Giao thông thuận tiện dễ dàng kết nối các khu vực: Đường 70, Quốc Lộ 1A, bến xe Nước Ngầm, bến xe Giáp Bát...

* Pháp lý: Sổ đỏ thổ cư 100%.
* Phù hợp đầu tư, để ở, cho thuê...
- Giá bán: 1ty800tr rẻ hơn cực nhiều so với mặt bằng trung, mua lãi ngay.

*Liên hệ: Đức Huy - 0862.85.95.98
(Trường hợp gọi không được bạn hãy nhắn tin SMS hoặc Zalo).
Hỗ trợ giấy tờ pháp lý: Thủ tục ngân hàng vay đến 70 - 80% lãi suất 0.6%.
Sang tên giấy tờ, chuyển nhượng tình trạng đất...",4,không có,2000,8000,natB, gần BV tâm thần kinh,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-12 21:44:00.231969
2,Bán đất tặng nhà Yên Hòa - Lô góc - Ôtô 20m - 32m2,1,Đường Yên Hòa,Phường Trung Hoà,Quận Cầu Giấy,Hà Nội,66.0,268000.0,"+ BÁN ĐẤT TẶNG NHÀ PHỐ YÊN HÒA CẦU GIẤY  - LÔ GÓC - NỞ HẬU - 20M Ô TÔ - TƯƠNG LAI SÁNG NGỜI 

+ Dt: 30/35m2 x 2 tầng, mặt tiền 4m, ngõ trước nhà thoáng , cách ô tô 20m

- Vị trí nhà ở khu trung tâm, tiện ích vô vàn, gần ngay chợ, nhà gần ngay các trường từ mầm non đến Đại học lớn.

- Nhà cách mặt ngõ ô tô tránh khoảng 20m, gần ngay dự án mở đường đang triển khai từ Cầu Giấy - Dương Đình Nghệ - Nguyễn Khang, mở đường xong giá trị tăng vọt.

- Hiện trạng nhà 2 tầng cũ xác định bán đất, khách mua về sang sửa ở tạm hoặc phá đi xây vô cùng thoáng sáng.

- Sổ đỏ nở hậu, giao dịch ngay.

+ Gía: 2.68 tỷ có thương lượng

+ Lh: E Trang để xem nhà miễn phí",2,riêng,3000,9000,natB,Bến xe bus,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-24 21:44:00.231969
2,Đất Quận Hà Đông 63m2-855tr,0,Bồ Đa 2,Phường Đồng Mai,Quận Hà Đông,Hà Nội,63.0,855000.0,"1/ CHÍNH CHỦ BÁN 63M2 ĐẤT THỔ CƯ - TỔ 17, P. ĐỒNG MAI/Q.HÀ ĐÔNG-855tr.

2/ Vị trí đất phía trong đê, GẦN KHU ĐÔ THỊ SINH THÁI ĐỒNG MAI. Chiều ngang đất 5m, dài 12m. Đất có 2 mặt thoáng, ngõ trước và ngõ thoáng sau đất. Từ mặt đường đê vào đất tầm 150m, ngõ trước đất 2.5m  (ô tô k vào được tận đất). SỔ ĐỎ CHÍNH CHỦ, CHỈ SANG TÊN KHI GIAO DỊCH.

3/ Giá bán: 13.500.000đ/m2 (mười ba triệu rưỡi). Khách mua chịu phí công chứng, sang tên (tầm 10 triệu).

4/ Để đỡ mất thời gian cho cả em và khách mua, em chính chủ công khai mọi thông tin chuẩn về giá bán, sổ đỏ, vị trí đất rõ ràng để khách nghiên cứu. Còn vấn đề gì chưa rõ thì alo cho em.Trân trọng!",2,riêng,2000,11000,Nhanh hơn cách người yêu cũ trở mặt, gần BV tâm thần kinh,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-13 21:44:00.231969
1,"Bán Nhanh Mảnh Đất 40m2, Cách ô tô 10m. 1.68 tỷ",0,Đồng Dinh,Phường Thạch Bàn,Quận Long Biên,Hà Nội,40.0,168000.0,"Gia đình không có nhu cầu sử dụng, cần bán nhanh mảnh đất đẹp tại Thạch Bàn.

Diện tích 40m2. Mặt tiền = hậu 4.85m. Hướng Tây Bắc.

Ngõ trước nhà 2.2m. Ra đường ô tô 20m. Vị trí đất tại tổ 13 Thạch bàn.

Cách chợ Đồng Dinh 200m. Ra đường Cổ Linh, Thạch Bàn Hay Quốc Lộ 5A chỉ 1km.

Bán kính 500m đầy đủ trường học các cấp, CA phường, Trạm y tế...

Khu vực dân trí văn minh, an ninh tốt, giao thông thuận tiện di chuyển các ngả.

Giá 1.68 tỷ (có ra lộc).

Liên hệ: Mr Tùng: 0912 017 115 để đi xem đất trực tiếp.",2,không có,3000,9000,Nhanh hơn cách người yêu cũ trở mặt,hasagi,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-07 21:44:00.231969
2,Nhà 4 tầng siêu đẹp 36/57m Đống Đa,1,Đường Thái Thịnh,Phường Thịnh Quang,Quận Đống Đa,Hà Nội,36.0,540000.0,"Dự án: đống đa
Thông tin chi tiết: ✅ Khu vực Thái Thịnh, diện tích 36/57T1, mặt tiền 3,4m, 4 tầng. Chỉ 5,xx tỷ
✅ khu vực phân lô bàn cờ, dân trí cao, ngõ thông các ngả
✅ Khung bê tông, đổ cát vàng chắc chắn. Thiết kế thông sàn ngăn mỗi tầng 2 phòng gồm: Khách, bếp, 3 ngủ, phòng thờ, sân phơi.
✅ Phần đất lưu không có thể hợp thức hóa vào sổ đủ diện tích 57m2 như hàng xóm đã làm.
✅ Sổ vuông đẹp trước sau như một.",1,riêng,2000,11000,Nhanh hơn cách người yêu cũ trở mặt,hasagi,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-27 21:44:00.231969
2,"Nhà Gia Quất, 39m2, 5tầng mới, 2.9tỷ, Long Biên",1,Gia Quất,Phường Ngọc Lâm,Quận Long Biên,Hà Nội,39.0,290000.0,"Gia đình tôi xây để ở nhưng chuyển công tác nên bán.
+ Nhà mới đẹp, thiết kế hiện đại 4 tầng 1 tum còn mới nguyên.
+ Mặt tiền rộng 4,5m, trước nhà là sân rộng nên nhà cực thoáng sáng, sân để được nhiều xe máy, Taxi lùi vào tận cửa khi cần.
+ Nhà có đầy đủ giấy phép xây dựng, bản thiết kế riêng, tầng 2 phòng rộng, vệ sinh khép kín. Thiết bị toàn bộ hàng nhập nhoại.
+ Tổng 4 phòng ngủ, sàn gỗ, cầu thang, tay vịn, cửa đều bằng gỗ lim, Sàn là gỗ công nghiệp nhập ngoại.
+ Ngõ rộng, thông, đường ô tô tránh cách nhà 30m, bên cạnh là khu chung cư với đầy đủ mọi tiện ích và trường học.
Sổ đỏ chính chủ, vuông vắn . Giá ra lộc.
Liên hệ Anh Hoan 1978.",1,riêng,3000,10000,natB,hasagi,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-19 21:44:00.231969
2,"Bát Khối, Nhà 6 Tầng Lô Góc, Ô tô Vào Nhà 2.95 Tỷ",1,Đường Bát Khối,Phường Long Biên,Quận Long Biên,Hà Nội,34.0,295000.0,"Siêu Phẩm Bát Khối, Nhà 6 Tầng Lô Góc, Ô tô Vào Nhà Chỉ 2.95 Tỷ
- Nhà diện tích 34m2, Hướng Tây nam, Ô tô vào nhà
- Thiết kế 6 tầng, tầng 1 gồm phòng bếp, để xe. Tầng 2 phòng khách, tầng 3,4,5 mỗi tầng 1 phòng ngủ, 1 Wc, Tầng 6 sân phơi, phòng thờ.
- Đường trước nhà ô tô đỗ cửa quay đầu đều được.
- Khu dân trí cao, an ninh tốt, yên tĩnh, thoáng mát.
- Vị trí rất thuận lợi gần trường học cấp 1 cấp 2 và cấp 3 trạm y tế, gần vườn hoa cây xanh, khu vui chơi.
- Cách Đường Bát Khối 100m, cầu Vĩnh Tuy 500m, Aeon 700m, cách đường Cổ Linh 600m, gần trường học, bệnh viện, chợ...Sang Hồ Gươm chỉ mất 10 phút đi xe!
- Sổ đỏ chính chủ, không tranh chấp. Đầy đủ giấy phép xây dựng, hồ sơ điện nước, bản vẽ thiết kế.
Giá Chỉ 2.95 Tỷ
Liên hệ: Mr Tùng  để đi xem nhà trực tiếp và miễn phí.",2,riêng,2000,8000,Nhanh hơn cách người yêu cũ trở mặt,hasagi,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-04 21:44:00.231969
2,"Mặt Phố vỉa hè rộng, kinh doanh tốt , chỉ 12 tỷ",1,Đường Tân Mai,Phường Giáp Bát,Quận Hoàng Mai,Hà Nội,70.0,1200000.0,"HƠN 10 TỶ - TOÀ NHÀ 6 TẦNG MẶT PHỐ 
+ Vị trí: Mặt phố, vỉa hè rộng
+ Toà nhà 6 tầng thiết kế theo mô hình vừa ở vừa kinh doanh. Hiện chủ chỉ dùng để ở.
Tầng 1: Gara hoặc mặt bằng kinh doanh.
Tầng 2 đến tầng 6 nhiều phòng ngủ rộng.",1,riêng,2000,10000,natD,Bến xe bus,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-18 21:44:00.231969
1,Bán Nhà Phú Diễn - Nhà Đẹp - Ở Luôn - 36m2 x 5T,1,Đường Phú Diễn,Phường Phú Diễn,Quận Bắc Từ Liêm,Hà Nội,66.0,270000.0,"+ BÁN NHÀ PHÚ DIỄN - Ô TÔ GẦN - NHÀ ĐẸP - Ở SƯỚNG 

+ Dt : 36m2 x 5 tầng , mt: 3,6m

+ Vị trí đẹp ngõ thông thoáng cách ô tô 30m, ngõ trước nhà thoáng , xe máy để chục cái thoải mái, cách hồ Phú Diễn 50m

+ Khu vực đang phát triển mạnh , ở hay đầu tư đều ok

+ Sổ vuông vắn sẵn sàng giao dịch

+ Gía: 2.75 tỷ có thương lượng

+ Lh: E Trang để xem nhà miễn phí",1,chung,2000,9000,Ổn định,Gần hơn người yêu bạn,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-09 21:44:00.231969
1,Hàng Hiếm Nhà 34m Thạch Bàn Có Nhỉnh 1.5 tỷ Xíu,1,Đường Thạch Bàn,Phường Thạch Bàn,Quận Long Biên,Hà Nội,34.0,165000.0,"- chuyển nhượng công tác lên cần bán gấp nhà 34m tổ 12 thạch bàn vị trí sát với khu đô thị garden city ( hình ảnh đúng với nhà đang bán ) 

- nhà thiết kế 3 phòng ngủ 2 Wc không gian thiết kế cực kì tinh tế cho hộ gia đình 
- bán kính 1km có đầy đủ tiện ích : chợ  ,trường mầm non 
- không có căn thứ 2 lên quý khách hàng liên hệ em sớm 0853.246.345 ( miễn trung gian môi giới)",3,chung,2000,11000,Có là được,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-24 21:44:00.231969
2,"Đất Phúc Lợi 228m2 Đường Ô tô Tránh, Vỉa Hè.55tr/m",0,Phúc Lợi,Phường Phúc Lợi,Quận Long Biên,Hà Nội,228.0,1254000.0,"Đất Phúc Lợi 228m2 Đường Ô tô Tránh, Vỉa Hè. Cạnh Trường Mầm Non Phúc Lợi 55tr/m2
- Diện tích 228m2 mặt tiền 9.5m hậu nở 10.9m hướng đông bắc.
- Đường trước nhà 13m, Nằm trên trục chính đường ven đê phúc lợi. (Đất trong đê)
- Vị trí đất phong thủy cực đẹp, đầu tựa sơn chân đạp thủy. 
- Nằm ngay cạnh trường mầm non phúc lợi, khu vực dân trí cao, tương lai phát triển.
- Phù hợp đầu tư chia lô, xây biệt thự nhà vườn, kinh doanh....
Giá 55tr/m2 (có thương lượng)
Liên hệ: Mr Tùng 0912 017 115 để đi xem đất trực tiếp và miễn phí",3,riêng,3000,8000,natB, gần BV tâm thần kinh,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-16 21:44:00.231969
2,"Bán nhà trả nợ, tổ 5 Thạch Bàn chỉ 2 tỷ 40m2 x 4T,",1,Đường Thạch Bàn,Phường Thạch Bàn,Quận Long Biên,Hà Nội,40.0,200000.0,"Nhà bao việc phải lo, nhưng lo nhất là việc có một mái ấm để đoàn viên. Mua về là ở luôn. Nhà còn rất mới, xây dựng 4 tầng tại đường Cổ Linh, tổ 5, Thạch Bàn, Long Biên, Hà Nội. Diện tích: 40m2 mặt tiền: 4m ngõ rộng, vừa ô tô con. Gần với đường lớn trung tâm. Thiết kế: 4 tầng.
- Tầng 1: Phòng khách, bếp, nhà vệ sinh.
- Tầng 2: 2 phòng ngủ, 1 nhà vệ sinh.
- Tầng 3: 2 phòng ngủ, 1 nhà vệ sinh.
- Tầng 4: Phòng thờ, phòng giặt, phòng để đồ, phơi đồ.
Liên hệ xem nhà: Mr Tùng: để đi xem nhà trực tiếp",2,chung,3000,11000,Có là được,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-16 21:44:00.231969
1,Bán Căn Hộ Tập Thể C9 Bắc Thành Công - Chính Chủ,3,Đường Đê La Thành,Phường Thành Công,Quận Ba Đình,Hà Nội,60.0,185000.0,"Dự án: Căn Hộ Tập Thể C9 Bắc Thành Công.
          Thông tin chi tiết: Căn hộ chung cư tầng 3, Khu C9 Bắc Thành Công
Ngay gần trường, chợ, đặc biệt dự án mở đường kim liên mới từ Hoàng Cầu ra voi phục đã đền bù xong khu căn hộ sẽ ra gần mặt đường.
Diện tích sổ đỏ 22,4m đã cơi nới thực tế ~60m: 1 phòng khách lớn, 2 phòng ngủ, 1 phòng để máy giặt, 1 nhà tắm, 1 bếp.
Giá 1 tỷ 85",3,riêng,2000,9000,Ổn định,Gần hơn người yêu bạn,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-22 21:44:00.231969
2,Cần Bán đất thổ cư 38.3m Hà Đông  giá 1.38 tỷ,0,Nguyễn trung trực,Phường Phú Lãm,Quận Hà Đông,Hà Nội,38.3,138000.0,"Chính chỉ cần bán 38.3m đất thổ cư xịn tại ngõ 2 đường Nguyễn trung trực,tổ 7,Huyền kỳ ,Phú lãm, hà đông , mặt tiền 3.2m x 12m chiều dài , đất vuông vắn , đằng sau có khe thoáng mở cửa sổ ,bắp điều hòa thuận lợi ,hàng xóm ,dân cư sầm uất đông đúc , chỉ vài trăm mét ra khu chợ xốm, gần trường đại học đại năm, cao đẳng kte thương mại, ngõ trước mặt 2m , vị trí giao thông thuận lợi, gần bến xe yên nghĩa, đường sắt trên cao, chợ trường và siêu thị thuận lợi dễ mua sắm, giá có thương lượng chút cho người thiện chí thanh toán nhanh, liên hệ chính chủ",4,chung,3000,8000,natB, gần BV tâm thần kinh,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-27 21:44:00.231969
1,"Bán Nhà Trần Thái Tông -Nhà Đẹp - Ôtô Gần 40m2,6PN",1,Đường Trần Thái Tông,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,66.0,445000.0,"+  BÁN NHÀ TRẦN THÁI TÔNG - DỊCH VỌNG HẬU - CẦU GIẤY - 5 TẦNG 6 NGỦ - NHÀ CỰC ĐẸP  - 50M BÃI GỬI Ô TÔ NGÀY ĐÊM - Ở HAY CHO THUÊ ĐỀU TUYỆT VỜI. 

+ Dt: 40/45m2 x 5 tầng , mặt tiền 4m

- Nhà  đầu Trần Thái Tông, ngõ trước nhà rộng, đầu ngõ là bãi gửi xe ô tô ngày đêm, thông sang Trần Quốc Vượng, khu vực dân cư đông đúc, khách mua ở hay đầu tư nhà cho thuê đều ok
 
- Nhà thiết kế hiện đại tầng 2 phòng ngủ, cầu thang giữa, ban công, giếng trời đầy đủ, tổng có 6 phòng ngủ. 

- Sổ đỏ đẹp, sẵn sàng giao dịch. 

+ Gía: 4.45 tỷ có thương lượng

+ Lh: E Trang",3,không có,3000,10000,natD,Bến xe bus,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-11 21:44:00.231969
1,Bán căn hộ nhỏ xinh HH Linh Đàm 2 ngu 1050 triệu,3,Khu đô thị Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,56.0,105000.0,"Bán gấp căn hộ xinh xinh tại HH Linh Đàm
2 phòng ngủ 2 nhà vệ sinh diện tích 56m
Full nội thất tiện nghi sang trọng
Giá chỉ 1050 triệu",2,riêng,3000,11000,Ổn định,Gần hơn người yêu bạn,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-04 21:44:00.231969
1,"Bán nhà siêu rẻ 750 triệu , CC mặt đường",3,22 thượng đình,Phường Thượng Đình,Quận Thanh Xuân,Hà Nội,30.0,250000.0,"Bán căn hộ chung cư mini siêu rẻ, siêu xinh cho các cặp đôi yêu nhau , giá yêu thương 750 triệu, full đồ vào chỉ việc ở, diên tích 30m, sổ Hồng, giấy tờ đầy đủ, bao công chứng sang tên, nhà nằm ngay mặt đường ,dc: 22 thượng đình, rất tiện đi lại, đầy đủ mọi tiện nghi dịch vụ, Lh nhanh kẻo ko kịp mua",1,riêng,2000,9000,Có là được,Gần hơn người yêu bạn,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-02 21:44:00.231969
1,Mình chính chủ bán nhà trung tâm quận Ba Đình,1,Đường An Xá,Phường Phúc Xá,Quận Ba Đình,Hà Nội,70.0,498000.0,"Bán nhà riêng khu phân lô quân đội tại Quận Ba Đình ~70m x 4 tầng nội thất cao cấp

Mình chính chủ tên sổ đỏ, có nhu cầu bán nhà mới làm rất tâm huyết.
Toàn bộ ảnh thật 100%.
Tặng toàn bộ nội thất và đồ trang trí có trong ảnh chụp. Gia đình mình làm đại sứ quán nên rất nhiều đồ ngoại nhập. Đặc biệt một số tranh mình sưu tập.
Nhà có camera an ninh, khóa thông minh vân tay.
Sổ đỏ chính chủ tên một mình mình nên mua bán nhanh chóng.
Diện tích thực tế ~70 m2, diện tích trong sổ đỏ 63m2
Làm việc và Liên hệ trực tiếp với sđt:
Cảm ơn các bạn đã quan tâm.",2,chung,2000,9000,natB,hasagi,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-24 21:44:00.231969
2,Đất thổ cư giáp khu CNC Hoà Lạc,0,Đường Đại lộ Thăng Long,Xã Đồng Trúc,Huyện Thạch Thất,Hà Nội,210.0,125000.0,"Gia đình tôi cần bán mảnh đất 210m2 Tại Đồng Trúc - Thạch Thất - Hà Nội
- Cách Đại Lộ Thăng Long 700m
- Cách CNC Hoà Lạc 1,5km
- Gần đường lớn, gần chợ, UBND, Trường Mầm Non, Cấp 1,2.....",4,không có,3000,11000,natD,Gần hơn người yêu bạn,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-10 21:44:00.231969
2,Chung cư IA20 Ciputra 92.5m² 3PN,3,KĐT Nam Thăng Long,Phường Đông Ngạc,Quận Bắc Từ Liêm,Hà Nội,92.5,240000.0,"Chính chủ cần chuyển nhượng gấp căn hộ tại Dự án chung cư IA20 - Đông Đô Green Ciputra, Nam Thăng Long - Bắc Từ Liêm.
Diện tích thông thủy 92.57 m2.
- Căn hộ thiết kế 3 Phòng ngủ chính, 2 WC, 1 Ban công, 1 Logia,...
- Nội thất CĐT : Trần thạch cao, đầu chờ điều hòa, thiết bị vệ sinh Linax cao cấp.
- Thiết kế căn hộ khoa học, tất cả các phòng đều có ánh sáng tự nhiên. Thoáng đãng, sạch sẽ.
- Tầng thấp thuận tiện đi lại. Hàng xóm đã về ở đông vui. Dân trí cao. An ninh đảm bảo.
- Nhà mới bàn giao nguyên bản, chất lượng xây dựng tốt. Không bị ngấm, nứt nẻ. Chủ nhà kĩ tính đã kiểm tra rất kĩ trước khi nhận bàn giao
- Giá chuyển nhượng thỏa thuận. Bao sang tên trọn gói.
Xin liên hệ và xem nhà trực tiếp A Linh 
Sẵn chìa khóa căn hộ. Xem nhà 24/7",4,chung,3000,11000,Nhanh hơn cách người yêu cũ trở mặt,hasagi,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-21 21:44:00.231969
